GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JUnit5Mockito2_udemy_course,testing.extensions,BeforeAfterExtension,0,11,0,0,0,5,0,3,0,3
JUnit5Mockito2_udemy_course,testing.extensions,IAExceptionIgnoreExtension,2,16,1,1,1,5,1,3,0,3
JUnit5Mockito2_udemy_course,testing,Meal,45,91,9,11,0,18,8,11,1,8
JUnit5Mockito2_udemy_course,testing,Cart,39,17,2,0,10,4,3,3,2,3
JUnit5Mockito2_udemy_course,testing.account,Account,3,31,1,1,1,13,1,6,0,6
JUnit5Mockito2_udemy_course,testing.account,Address,0,9,0,0,0,4,0,1,0,1
JUnit5Mockito2_udemy_course,testing.account,AccountService,0,16,0,0,0,4,0,2,0,2
JUnit5Mockito2_udemy_course,testing.order,OrderStatus,0,34,0,0,0,2,0,1,0,1
JUnit5Mockito2_udemy_course,testing.order,OrderBackup,5,42,1,1,1,12,1,5,0,5
JUnit5Mockito2_udemy_course,testing.order,Order,0,27,0,0,0,8,0,5,0,5
